Gene,BaseMean,Log2FoldChange,Mean_Mock,Mean_Infected,Statistic,PValue,FDR,Significance
JUNB,9.913604499218623,2.761919184892072,8.532644906772587,11.29456409166466,7.235107136061135,5.6060458259171016e-05,0.0025055251363303855,Upregulated
IL23A,3.861719755482376,2.7574022707649886,2.4830186200998816,5.24042089086487,6.267901771997509,2.9855392158070812e-05,0.0017361387964598698,Upregulated
CCNL1,10.413163928502051,2.7312453619967325,9.047541247503686,11.778786609500418,8.521355845405848,3.623431001388765e-05,0.0019310508923617421,Upregulated
KLF10,9.689270023775624,2.72343308227134,8.327553482639953,11.050986564911293,6.307855692003054,3.173361447800414e-05,0.0017805653684548422,Upregulated
DCAF4L1,3.272970047814725,2.7110280725437965,1.917456011542827,4.628484084086623,3.618019722028704,0.0048715093134602235,0.038980546697792155,Upregulated
SNORA48,2.7251609185014285,2.7038662718932893,1.373227782554784,4.077094054448073,3.402172558983748,0.005812341874433198,0.043040641036910646,Upregulated
NLRC5,6.82585483374957,2.6993132389292747,5.476198214284933,8.175511453214208,5.227455615906702,0.0003021899179653799,0.007081710420502782,Upregulated
CREBRF,7.921321424192246,2.6973541493465643,6.5726443495189635,9.269998498865528,5.833251182314826,0.0002604883682041053,0.006455154302192577,Upregulated
REL,5.701670930751506,2.6928363883338102,4.355252736584601,7.048089124918412,4.472028257970162,0.0008017602387685676,0.012618810234575301,Upregulated
DLL1,2.526328579632416,2.6802882982044434,1.1861844305301943,3.866472728734638,6.454418741138829,2.5366545834161274e-05,0.0015915201461314912,Upregulated
PTGS2,10.537306298921841,2.675711742660596,9.199450427591543,11.875162170252139,5.811651268544793,4.0535529096128385e-05,0.002081762348272129,Upregulated
KDM6B,8.752563439171361,2.658652974010117,7.423236952166302,10.08188992617642,5.156874150555105,0.0006185076687406372,0.010861655663647602,Upregulated
SOCS1,4.1524474308644415,2.651276040102778,2.826809410813052,5.47808545091583,4.555706246731139,0.0008063525185134211,0.012662211391400172,Upregulated
KLKP1,2.0065410399941603,2.6430060518085594,0.6850380140898809,3.3280440658984403,3.9081079607063764,0.003329253419085111,0.030961129272206064,Upregulated
ZBTB43,8.258871966840992,2.6380291322010887,6.939857400740447,9.577886532941536,3.587048553822399,0.004443510863349234,0.036937278508330715,Upregulated
NGFR,3.513673982410689,2.6332240236028275,2.1970619706092753,4.830285994212103,5.108869024046856,0.0003893602006033994,0.008303295782943915,Upregulated
FGF18,2.378630776628362,2.629602402083497,1.0638295755866132,3.69343197767011,4.895640727596442,0.0004938284524125362,0.009544034020354319,Upregulated
HIST3H2BB,1.9735361285742958,2.6193962547912353,0.6638380011786782,3.2832342559699135,4.275301463205245,0.0013738852656778433,0.017657112031798202,Upregulated
HIST1H1D,2.8068480458465768,2.602148054574654,1.5057740185592499,4.107922073133904,6.654813218624172,1.7657709330354416e-05,0.0013038206238382562,Upregulated
SLC1A3,2.540168522739083,2.5967373544246737,1.2417998455267463,3.83853719995142,3.476009633026853,0.0038463606794852277,0.03368738353993312,Upregulated
GIMAP2,3.040801705562044,2.596421187736044,1.7425911116940218,4.339012299430066,3.3468714800256083,0.004489369986899523,0.037155326293142776,Upregulated
EREG,10.100747060583867,2.5958246390353192,8.802834741066208,11.398659380101527,4.05227894154516,0.0010917400484051632,0.015136902166909955,Upregulated
SP110,7.403186186553433,2.574896864076896,6.115737754514985,8.690634618591881,3.3728933056738435,0.006521267850704697,0.0463030144769943,Upregulated
ZNF267,8.61663371498821,2.574488228220768,7.329389600877826,9.903877829098594,6.201078024730502,0.00021141543171015984,0.005767128861453234,Upregulated
BBC3,8.873547506624647,2.5743716208612204,7.586361696194037,10.160733317055257,4.063415400387169,0.0010373995747926484,0.014762089000889616,Upregulated
SLC5A5,1.9777090325185862,2.56592513604912,0.6947464644940263,3.260671600543146,6.250981984810391,1.8412230218403788e-05,0.0013100206891991106,Upregulated
HIST1H2BG,2.4523049868383033,2.555634221117968,1.1744878762793194,3.7301220973972873,3.6820222393960735,0.0027030648019642357,0.02713483888109989,Upregulated
TRANK1,7.919226715340056,2.5469579916739917,6.64574771950306,9.192705711177052,6.73913051780769,6.761926657270996e-06,0.0007336788537639569,Upregulated
LST1,1.6121129349658718,2.5410110431697626,0.34160741338099065,2.882618456550753,4.848255131566878,0.000597464593443971,0.010600004862862637,Upregulated
