Gene,Degree_Centrality,Betweenness_Centrality,Log2FoldChange,FDR,Significance
IL1A,0.5443037974683544,0.007625209096641161,5.73055774182129,0.0142419688217269,Upregulated
LOC286059,0.5443037974683544,0.00033223204970149776,2.8779782503779168,0.00160330545498,Upregulated
DNAH17,0.5316455696202531,0.00021479356310183232,2.825272395497086,0.0341265488473775,Upregulated
CSF3,0.49367088607594933,0.01381603207607683,3.721890251334831,0.000167475168827,Upregulated
HIF1A-AS2,0.49367088607594933,0.00013024883678756338,3.0367234199752136,0.0097880625362534,Upregulated
IFNB1,0.4810126582278481,0.008676130122640456,6.470915918269225,0.0216230986454516,Upregulated
ACTN2,0.46835443037974683,0.004712573797016516,2.7673335310481386,0.0115502890223575,Upregulated
NFKBIE,0.45569620253164556,0.0038745136662794917,2.773808488479501,0.0121356840627827,Upregulated
IFIT2,0.45569620253164556,0.007276002468250881,4.840871314668579,0.0275030185179886,Upregulated
NEURL3,0.4430379746835443,0.004892128801777628,3.2541519424914025,0.0091615748240298,Upregulated
IFNL1,0.4177215189873418,0.005520217172849316,5.304492386862772,0.0416614759644809,Upregulated
SNORA48,0.3924050632911392,2.6085635679239944e-05,2.7038662718932893,0.0430406410369106,Upregulated
FOXC2,0.37974683544303794,0.0007201923634058804,2.8052977256825278,0.0332813610060076,Upregulated
HIST1H1E,0.3670886075949367,0.0007377661013094058,2.792690654949544,0.0016490424970725,Upregulated
IFNL3,0.3670886075949367,0.0035697961981284738,5.357556470056145,0.033331678519121,Upregulated
IFNL2,0.34177215189873417,0.0027164422786908476,5.561321675860658,0.0325396481740563,Upregulated
CMPK2,0.34177215189873417,0.0015668984314509866,5.153083487112128,0.0299249812701206,Upregulated
IFIT3,0.3291139240506329,0.002236683052441855,4.223635312395074,0.0405000555254166,Upregulated
IL6,0.31645569620253167,0.0007563060916120619,4.462783849810209,0.0436890561104636,Upregulated
HELZ2,0.3037974683544304,0.001756856549105324,3.2015449419251345,0.0211769543511754,Upregulated
IRF7,0.2911392405063291,0.0007140235571585942,3.9301722591523074,0.0290993769042341,Upregulated
GBP5,0.2911392405063291,0.0022462217563481634,2.980841396504069,0.0396516075724169,Upregulated
IL23A,0.25316455696202533,0.0002756330165923295,2.757402270764989,0.0017361387964598,Upregulated
USP18,0.24050632911392406,0.0005559418448206916,2.945464355567114,0.0332361574623688,Upregulated
NLRC5,0.17721518987341772,0.00024304720051082382,2.6993132389292747,0.0070817104205027,Upregulated
TRIM22,0.13924050632911392,0.0,3.153853920081336,0.0075382600912567,Upregulated
